File,Language,Line Comments,Block Comments,Total Comments,Total Lines,Comment Ratio (%)
cpp/concurrentqueue-master_benchmarks_dlib_threads_thread_pool_extension_abstract.h,cpp,29,386,415,843,49.23
cpp/concurrentqueue-master_benchmarks_tbb_tools_api_legacy_ittnotify.h,cpp,0,437,437,982,44.5
cpp/concurrentqueue-master_benchmarks_tbb_task.h,cpp,151,237,388,1008,38.49
cpp/concurrentqueue-master_benchmarks_boost_config_suffix.hpp,cpp,362,0,362,1008,35.91
cpp/concurrentqueue-master_benchmarks_boost_atomic_detail_ops_gcc_arm.hpp,cpp,330,14,344,974,35.32
cpp/concurrentqueue-master_benchmarks_dlib_algs.h,cpp,123,266,389,1159,33.56
cpp/concurrentqueue-master_benchmarks_tbb_tbb_machine.h,cpp,89,215,304,968,31.4
cpp/concurrentqueue-master_benchmarks_tbb_scheduler.cpp,cpp,198,168,366,1228,29.8
cpp/concurrentqueue-master_benchmarks_tbb_arena.cpp,cpp,143,73,216,868,24.88
cpp/concurrentqueue-master_benchmarks_tbb_concurrent_hash_map.h,cpp,261,89,350,1418,24.68
cpp/concurrentqueue-master_benchmarks_tbb_concurrent_vector.h,cpp,208,106,314,1335,23.52
cpp/concurrentqueue-master_benchmarks_boost_atomic_detail_ops_gcc_alpha.hpp,cpp,136,43,179,877,20.41
cpp/concurrentqueue-master_benchmarks_dlib_binary_search_tree_binary_search_tree_kernel_2.h,cpp,167,184,351,1898,18.49
cpp/concurrentqueue-master_benchmarks_boost_parameter_parameters.hpp,cpp,169,0,169,932,18.13
cpp/concurrentqueue-master_benchmarks_tbb_internal__concurrent_queue_impl.h,cpp,117,62,179,1083,16.53
cpp/concurrentqueue-master_benchmarks_tbb_internal__concurrent_unordered_impl.h,cpp,212,21,233,1566,14.88
cpp/concurrentqueue-master_benchmarks_tbb_enumerable_thread_specific.h,cpp,91,54,145,1003,14.46
cpp/concurrentqueue-master_benchmarks_dlib_threads_thread_pool_extension.h,cpp,79,112,191,1393,13.71
c/concurrentqueue-master_benchmarks_tbb_tools_api_ittnotify_static.c,c,1,143,144,1060,13.58
cpp/concurrentqueue-master_benchmarks_dlib_array_array_kernel.h,cpp,58,28,86,810,10.62
cpp/concurrentqueue-master_benchmarks_boost_parameter_preprocessor.hpp,cpp,72,41,113,1078,10.48
cpp/concurrentqueue-master_tests_relacy_relacy_relacy_context.hpp,cpp,72,57,129,1292,9.98
cpp/concurrentqueue-master_benchmarks_tbb_internal__flow_graph_join_impl.h,cpp,105,58,163,1740,9.37
cpp/concurrentqueue-master_benchmarks_boost_atomic_detail_ops_gcc_ppc.hpp,cpp,15,55,70,803,8.72
cpp/concurrentqueue-master_tests_relacy_relacy_example_tbb_eventcount_eventcount.cpp,cpp,30,39,69,843,8.19
cpp/concurrentqueue-master_benchmarks_boost_atomic_detail_ops_msvc_x86.hpp,cpp,27,30,57,929,6.14
cpp/concurrentqueue-master_benchmarks_dlib_string_string.h,cpp,40,0,40,1005,3.98
cpp/concurrentqueue-master_benchmarks_boost_atomic_detail_ops_msvc_arm.hpp,cpp,14,14,28,825,3.39
cpp/concurrentqueue-master_tests_fuzztests_fuzztests.cpp,cpp,19,1,20,868,2.3
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_comparison_not_equal.hpp,cpp,3,12,15,815,1.84
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_repetition_repeat.hpp,cpp,3,11,14,826,1.69
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_local.hpp,cpp,2,9,11,813,1.35
cpp/concurrentqueue-master_benchmarks_boost_type_traits_detail_is_mem_fun_pointer_tester.hpp,cpp,21,0,21,1801,1.17
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_seq_fold_left.hpp,cpp,2,10,12,1071,1.12
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_reverse4.hpp,cpp,2,9,11,1297,0.85
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_reverse3.hpp,cpp,2,9,11,1297,0.85
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_reverse2.hpp,cpp,2,9,11,1297,0.85
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_reverse5.hpp,cpp,2,9,11,1297,0.85
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_reverse1.hpp,cpp,2,9,11,1297,0.85
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_forward5.hpp,cpp,2,9,11,1339,0.82
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_forward1.hpp,cpp,2,9,11,1343,0.82
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_forward3.hpp,cpp,2,9,11,1339,0.82
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_forward2.hpp,cpp,2,9,11,1339,0.82
cpp/concurrentqueue-master_benchmarks_boost_preprocessor_iteration_detail_iter_forward4.hpp,cpp,2,9,11,1339,0.82
