File,Language,Line Comments,Block Comments,Total Comments,Total Lines,Comment Ratio (%)
cpp/sqlite-master_ext_session_sqlite3session.h,cpp,2,1585,1587,1818,87.29
c/sqlite-master_src_fkey.c,c,0,708,708,1485,47.68
javascript/sqlite-master_ext_wasm_api_sqlite3-vfs-opfs-sahpool.c-pp.js,javascript,46,626,672,1463,45.93
c/sqlite-master_tool_lempar.c,c,1,484,485,1087,44.62
c/sqlite-master_src_pcache1.c,c,0,530,530,1279,41.44
c/sqlite-master_src_delete.c,c,0,422,422,1031,40.93
c/sqlite-master_ext_misc_cksumvfs.c,c,0,357,357,881,40.52
javascript/sqlite-master_ext_wasm_api_sqlite3-vfs-opfs.c-pp.js,javascript,28,562,590,1458,40.47
c/sqlite-master_ext_misc_closure.c,c,1,391,392,972,40.33
cpp/sqlite-master_ext_fts5_fts5Int.h,cpp,1,378,379,961,39.44
c/sqlite-master_ext_misc_series.c,c,1,339,340,869,39.13
c/sqlite-master_src_pcache.c,c,0,365,365,937,38.95
c/sqlite-master_src_test_journal.c,c,0,336,336,870,38.62
c/sqlite-master_ext_misc_fossildelta.c,c,1,416,417,1094,38.12
c/sqlite-master_ext_misc_vfsstat.c,c,1,312,313,826,37.89
cpp/sqlite-master_ext_lsm1_lsmInt.h,cpp,0,373,373,998,37.37
c/sqlite-master_ext_misc_fuzzer.c,c,0,444,444,1193,37.22
c/sqlite-master_test_vt02.c,c,0,379,379,1025,36.98
c/sqlite-master_src_whereexpr.c,c,6,706,712,1926,36.97
c/sqlite-master_ext_lsm1_lsm_log.c,c,0,423,423,1157,36.56
java/sqlite-master_ext_jni_src_org_sqlite_jni_wrapper1_Sqlite.java,java,17,698,715,1995,35.84
javascript/sqlite-master_ext_wasm_api_sqlite3-opfs-async-proxy.js,javascript,14,273,287,806,35.61
c/sqlite-master_src_prepare.c,c,4,382,386,1091,35.38
c/sqlite-master_ext_misc_unionvtab.c,c,0,488,488,1384,35.26
c/sqlite-master_src_test_onefile.c,c,0,282,282,832,33.89
javascript/sqlite-master_ext_wasm_api_sqlite3-api-glue.c-pp.js,javascript,57,604,661,1970,33.55
c/sqlite-master_src_update.c,c,0,454,454,1363,33.31
c/sqlite-master_ext_misc_amatch.c,c,0,494,494,1503,32.87
c/sqlite-master_src_util.c,c,5,606,611,1864,32.78
c/sqlite-master_ext_fts3_fts3_snippet.c,c,0,579,579,1783,32.47
javascript/sqlite-master_ext_wasm_fiddle_fiddle.js,javascript,18,248,266,823,32.32
c/sqlite-master_src_trigger.c,c,2,483,485,1570,30.89
c/sqlite-master_src_date.c,c,2,557,559,1819,30.73
c/sqlite-master_src_test_fs.c,c,0,282,282,921,30.62
c/sqlite-master_ext_misc_csv.c,c,0,297,297,975,30.46
c/sqlite-master_ext_wasm_api_sqlite3-wasm.c,c,18,579,597,1961,30.44
c/sqlite-master_ext_fts3_fts3_expr.c,c,0,400,400,1317,30.37
c/sqlite-master_tool_fuzzershell.c,c,1,383,384,1268,30.28
c/sqlite-master_ext_lsm1_lsm_ckpt.c,c,0,375,375,1240,30.24
c/sqlite-master_ext_fts5_fts5_aux.c,c,0,248,248,822,30.17
c/sqlite-master_src_test_multiplex.c,c,2,410,412,1370,30.07
c/sqlite-master_src_dbstat.c,c,4,264,268,907,29.55
c/sqlite-master_src_os_kv.c,c,0,287,287,980,29.29
c/sqlite-master_src_memdb.c,c,2,272,274,937,29.24
c/sqlite-master_src_malloc.c,c,0,268,268,921,29.1
c/sqlite-master_src_tokenize.c,c,0,257,257,899,28.59
c/sqlite-master_src_vtab.c,c,0,394,394,1378,28.59
c/sqlite-master_src_test8.c,c,0,408,408,1454,28.06
c/sqlite-master_src_test6.c,c,0,305,305,1105,27.6
c/sqlite-master_ext_misc_fileio.c,c,0,312,312,1133,27.54
c/sqlite-master_ext_session_changesetfuzz.c,c,0,339,339,1239,27.36
c/sqlite-master_src_test_quota.c,c,0,535,535,1971,27.14
c/sqlite-master_ext_lsm1_lsm_vtab.c,c,1,279,280,1085,25.81
c/sqlite-master_src_test_func.c,c,0,245,245,952,25.74
c/sqlite-master_ext_lsm1_lsm_shared.c,c,0,512,512,1995,25.66
c/sqlite-master_ext_fts5_fts5_vocab.c,c,0,197,197,809,24.35
c/sqlite-master_src_printf.c,c,0,366,366,1507,24.29
c/sqlite-master_ext_recover_dbdata.c,c,0,248,248,1024,24.22
c/sqlite-master_src_test_osinst.c,c,9,285,294,1222,24.06
c/sqlite-master_ext_misc_vfstrace.c,c,5,286,291,1212,24.01
c/sqlite-master_ext_misc_shathree.c,c,0,204,204,855,23.86
